model,MAE,RMSE,R2_price,MAPE_pct,Change_R2,Train_MAE,Train_R2,Overfit_Ratio,CV_MAE,CV_MAE_std,Return_R2
Monthly Ridge,34.95027798462194,49.13223035111236,0.9354415484147022,3.2251138303333406,0.03417951390637608,17.78932265599381,0.9795878990500152,0.5089894467741024,29.7893903464777,10.287396578502879,
Monthly Random Forest,38.14575464871706,52.239538207250966,0.9270174883802783,3.489534062919186,-0.027226378782545746,14.736064818664802,0.9841227082765388,0.38630943218632624,22.22832439841543,4.56999834108345,
Monthly Gradient Boosting,37.22840490265604,48.560334110012526,0.9369357145840549,3.372077795680658,0.16129070211190533,5.157035771311988,0.9981854240784064,0.13852422054601815,22.49168202611365,7.662551021851673,
Monthly Ensemble,35.78683486428556,48.28135648061241,0.9376582379371775,3.2710213862285196,0.1271415823815173,0.0,,0.0,0.0,0.0,
Daily Ridge,2.8136250469270316,3.9409686041808847,0.9995632659598442,0.2530345631424851,,1.4997247875165702,,0.5330222622074433,1.5696618410334717,0.4047039089210762,0.2647595074051934
Daily Random Forest,2.7788880237532156,3.9312013020730037,0.9995654280817305,0.2493968630551234,,1.4626443919583394,,0.5263416083901308,1.581985484014907,0.40573955765411696,0.2719884215487801
Daily Gradient Boosting,2.770365550633145,3.9420851085014474,0.9995630184650965,0.24823689292971218,,1.4393456569991385,,0.5195508068132697,1.5742338825449682,0.39711064716175126,0.27128030870989983
