year,month_number,produccion,importaciones,exportaciones_totales,consumo_nacional_aparente,inventario_inicial,inventario_final,oferta_total,demanda_total,net_exports,supply_demand_ratio,demand_pressure,excess_supply,inventory_to_consumption,inventory_months,production_share
2020,8,0.0,10789,111694,248201,1586682,1208814,1597471,388658,100905.0,4.110222869463642,0.22529047475666225,1237576.0,4.870302698216365,58.44363237859638,0.0
2020,9,0.0,17853,61315,272098,1208814,857523,1226667,369144,43462.0,3.323004030947273,0.2718040022271733,893254.0,3.151522613176135,37.81827135811362,0.0
2020,10,1712.0,8394,6261,326370,857523,509035,867630,358595,-2133.0,2.4195262064445964,0.3833793015217334,534998.0,1.5596868584735117,18.71624230168214,0.0019731913373212083
2020,11,171359.0,3205,11151,313606,509035,336010,683598,347588,7946.0,1.96669044961276,0.4750694486094918,358842.0,1.0714399596946487,12.857279516335785,0.250672178678112
2020,12,845793.0,1884,45938,346505,336010,765652,1183687,418035,44054.0,2.831549989833387,0.3315428825356703,791244.0,2.2096419965079868,26.51570395809584,0.7145410906768428
2021,1,1054896.0,1235,109690,334500,765652,1340554,1821782,481229,108455.0,3.7856862325420955,0.24382157479787658,1377593.0,4.007635276532137,48.09162331838565,0.5790462305588704
2021,2,1062132.0,549,102455,365693,1340554,1897716,2403234,505519,101906.0,4.7539934206231615,0.19479909372158777,1935087.0,5.189369225005674,62.272430700068085,0.4419594596281511
2021,3,1188484.0,1758,190268,356580,1897716,2498772,3087957,589185,188510.0,5.241065200234222,0.17709049151575249,2541110.0,7.007605586404173,84.09126703685007,0.38487712102208677
2021,4,961128.0,1464,269117,255693,2498772,2900418,3461364,560947,267653.0,6.1705722644028755,0.15161941939651535,2936554.0,11.343360983679647,136.12033180415577,0.27767319472901436
2021,5,383637.0,3938,156228,304800,2900418,2789986,3287993,498006,152290.0,6.602316036352976,0.14021562697974113,2826965.0,9.153497375328085,109.84196850393701,0.11667816811045523
2021,6,36633.0,5309,97188,364783,2789986,2324557,2831928,507371,91879.0,5.58157245881219,0.163129500467526,2369957.0,6.372437860316955,76.46925432380347,0.012935710229921099
2021,7,9675.0,2232,54798,338696,2324557,1900330,2336464,436134,52566.0,5.3572159015348495,0.16841432181279062,1942970.0,5.61072466164348,67.32869593972175,0.004140872703367139
2021,8,0.0,1530,43975,358028,1900330,1465404,1901860,436457,42445.0,4.35749684390444,0.2113736026836886,1499857.0,4.092987140670562,49.11584568804674,0.0
2021,9,0.0,375,77793,270175,1465404,1053114,1465779,412665,77418.0,3.551982843226346,0.23739458676921965,1117811.0,3.897895808272416,46.774749699268995,0.0
2021,10,0.0,468,33078,368608,1053114,621324,1053582,432258,32610.0,2.4373915578196357,0.38125746263698507,651896.0,1.6855955378071013,20.227146453685215,0.0
2021,11,169191.0,599,76224,299356,621324,382024,791114,409090,75625.0,1.9338385196411547,0.4747482663686902,415534.0,1.2761528080278999,15.3138336963348,0.2138642471249403
2021,12,857800.0,464,67658,405449,382024,726042,1240289,514246,67194.0,2.411859304690751,0.38144930854769216,767181.0,1.7907110388729532,21.48853246647544,0.6916130030984714
