model,MAE,RMSE,R2_price,MAPE_pct,Change_R2,Train_MAE,Train_R2,Overfit_Ratio,CV_MAE,CV_MAE_std,Return_R2
Monthly Ridge,28.80606004206888,39.645241680506466,0.9686066077759774,2.225431387674639,0.028803191232929848,12.615580322067522,0.990480082248226,0.43794883103220317,17.93063765116327,4.224392969069809,
Monthly Random Forest,29.700106474474275,41.24951974241589,0.9660144815272891,2.2545835773334106,-0.0034838931061533795,10.13222671490598,0.9930780011507315,0.3411511916165726,16.649476516525155,3.144713882529134,
Monthly Gradient Boosting,35.6766046276596,44.60775498802057,0.9602555180922704,2.669668318138754,-0.08757117688070193,3.7045651124985515,0.9991054497884705,0.10383737889749887,16.79031241077488,5.166790473161959,
Monthly Ensemble,28.705424331230766,38.93896655758591,0.9697151833313594,2.202303809494528,0.0903678250041886,0.0,,0.0,0.0,0.0,
Daily Ridge,4.243956959659855,6.590760851854394,0.9988749136062332,0.3166001687965628,,1.969058412925439,,0.4639675735738976,2.1030794550661973,0.9770189551800385,0.031636582099934696
Daily Random Forest,4.098755579393223,6.6226914426308054,0.9988639856733061,0.30546316055534883,,1.908797358085652,,0.46570167972012355,2.1324232724819843,0.9814302544368809,0.018422285554896334
Daily Gradient Boosting,4.19124047687412,6.642670832858277,0.9988571210594881,0.31262820805257235,,1.8704982166838857,,0.4462874957914433,2.134411831065696,0.9704065215531562,0.013893630463916673
