date,price,produccion,importaciones,exportaciones_totales,consumo_nacional_aparente,inventario_inicial,inventario_final,oferta_total,demanda_total,net_exports,supply_demand_ratio,demand_pressure,excess_supply,inventory_to_consumption,inventory_months,production_share,month_sin,month_cos,return_1d,lag_ret_1,lag_ret_2,lag_ret_5,lag_ret_10,ma_ratio_5,ma_ratio_20,std_norm_5,ema_ratio_10,return_5d,volatility_20,next_return,target_price
2000-10-02,414.1303130131785,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,,,,,,,,,1.0,,,-0.0017035049614582132,413.42483997027034
2000-10-03,413.42483997027034,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,-0.0017035049614582132,,,,,,,,0.99923270386632,,,-0.00392474723774594,411.8022519715815
2000-10-04,411.8022519715815,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,-0.00392474723774594,-0.0017035049614582132,,,,,,,0.997190632205656,,,0.0013276799862949051,412.34899357983534
2000-10-05,412.34899357983534,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,0.0013276799862949051,-0.00392474723774594,-0.0017035049614582132,,,,,,0.999003473537929,,,-0.0022668947818648144,411.414241797982
2000-10-06,411.414241797982,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,-0.0022668947818648144,0.0013276799862949051,-0.00392474723774594,,,0.9970678247191779,,0.00275122723918534,0.9976728500987874,,,0.00012860633600553228,411.4671522762001
2000-10-09,411.4671522762001,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,0.00012860633600553228,-0.0022668947818648144,0.0013276799862949051,,,0.9984849392691759,,0.0020247166019023506,0.9983713424376364,-0.00643073122950466,,-0.0021003000428633234,410.60294779863756
2000-10-10,410.60294779863756,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,-0.0021003000428633234,0.00012860633600553228,-0.0022668947818648144,-0.0017035049614582132,,0.9977542921305937,,0.0015506742200020519,0.9971696269681063,-0.006825647369992804,,-0.0035651389545122703,409.1390912346031
2000-10-11,409.1390912346031,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,-0.0035651389545122703,-0.0021003000428633234,0.00012860633600553228,-0.00392474723774594,,0.9954855985444059,,0.0029507790794277766,0.9950601165701785,-0.006467086384855825,,0.003362358824036571,410.51476366827404
2000-10-12,410.51476366827404,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,0.003362358824036571,-0.0035651389545122703,-0.0021003000428633234,0.0013276799862949051,,0.9997251142493899,,0.002295712633261429,0.9987522608137133,-0.004448246364414099,,-0.0030073895858394595,409.2801858431847
2000-10-13,409.2801858431847,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,-0.0030073895858394595,0.003362358824036571,-0.0035651389545122703,-0.0022668947818648144,,0.997755630272334,,0.002393543768549085,0.9966386496951254,-0.005187122218888063,,-0.0017667844522968323,408.5570759742038
