year,month,predicted_price,predicted_change,ci_lower_80,ci_upper_80,ci_lower_50,ci_upper_50
2026,6,1124.0313353555805,-0.003911298887948841,1099.721240985392,1184.2402392571007,1114.8907215850659,1150.8313314403485
2026,7,1118.5652350664413,-0.00486294297783971,1084.185569905551,1203.7134835395893,1105.6384551037652,1156.4661530010662
2026,8,1111.4198111388778,-0.006388026110197525,1069.313492552917,1215.7046917643427,1095.5878036759825,1157.8387660003432
2026,9,1107.4744249044545,-0.003549861352912541,1058.8542361640775,1227.8922327074947,1089.193197363425,1161.0744170739908
2026,10,1107.4281021218899,-4.18274061441291e-05,1053.0690785707134,1242.059304096441,1086.9890683749484,1167.3547151641596
2026,11,1107.5748700099912,0.00013253039887651478,1048.0275432041233,1255.0559625409828,1085.1850303363726,1173.22118552626
